Policy;Country;Year;Status;Jurisdiction;Link;Link
European Institute of Innovation and Technology: Raw Materials Project Call;European Union;2023;Announced;International;\href{https://www.iea.org/policies/16656-european-institute-of-innovation-and-technology-raw-materials-project-call}{\faLink};https://www.iea.org/policies/16656-european-institute-of-innovation-and-technology-raw-materials-project-call
Minerals Security Partnership;European Union;2022;Announced;International;\href{https://www.iea.org/policies/16158-minerals-security-partnership}{\faLink};https://www.iea.org/policies/16158-minerals-security-partnership
Resilience for the future: The UK's critical minerals strategy;United Kingdom;2022;In force;National;\href{https://www.iea.org/policies/16069-resilience-for-the-future-the-uks-critical-minerals-strategy}{\faLink};https://www.iea.org/policies/16069-resilience-for-the-future-the-uks-critical-minerals-strategy
Circular Economy Action Plan;Spain;2021;In force;National;\href{https://www.iea.org/policies/13644-circular-economy-action-plan}{\faLink};https://www.iea.org/policies/13644-circular-economy-action-plan
Horizon Europe Strategic Plan (2021 – 2024);European Union;2021;In force;International;\href{https://www.iea.org/policies/15683-horizon-europe-strategic-plan-2021-2024}{\faLink};https://www.iea.org/policies/15683-horizon-europe-strategic-plan-2021-2024
National Battery Strategy 2025;Finland;2021;In force;National;\href{https://www.iea.org/policies/16747-national-battery-strategy-2025}{\faLink};https://www.iea.org/policies/16747-national-battery-strategy-2025
National Planning Policy Framework;United Kingdom;2021;In force;National;\href{https://www.iea.org/policies/15264-national-planning-policy-framework}{\faLink};https://www.iea.org/policies/15264-national-planning-policy-framework
EU Sustainable Batteries Regulation;European Union;2020;Announced;Regional;\href{https://www.iea.org/policies/16763-eu-sustainable-batteries-regulation}{\faLink};https://www.iea.org/policies/16763-eu-sustainable-batteries-regulation
Green Deal: Circular Economy Action Plan;European Union;2020;In force;International;\href{https://www.iea.org/policies/13120-green-deal-circular-economy-action-plan}{\faLink};https://www.iea.org/policies/13120-green-deal-circular-economy-action-plan
Battery fund: 3.2 billion euros for research and innovation;European Union;2019;In force;International;\href{https://www.iea.org/policies/8854-32-billion-euros-fund-for-research-and-innovation-in-battery-technology}{\faLink};https://www.iea.org/policies/8854-32-billion-euros-fund-for-research-and-innovation-in-battery-technology
Resources for France Plan;France;2018;In force;National;\href{https://www.iea.org/policies/15650-resources-for-france-plan}{\faLink};https://www.iea.org/policies/15650-resources-for-france-plan
European Battery Alliance;European Union;2017;In force;National;\href{https://www.iea.org/policies/15093-european-battery-alliance}{\faLink};https://www.iea.org/policies/15093-european-battery-alliance
National Strategy for Energy Research;France;2016;In force;National;\href{https://www.iea.org/policies/15649-national-strategy-for-energy-research}{\faLink};https://www.iea.org/policies/15649-national-strategy-for-energy-research
Horizon 2020: Climate action, environment resource efficiency and raw materials;European Union;2013;Ended;International;\href{https://www.iea.org/policies/16655-horizon-2020-climate-action-environment-resource-efficiency-and-raw-materials}{\faLink};https://www.iea.org/policies/16655-horizon-2020-climate-action-environment-resource-efficiency-and-raw-materials
Resource Security Action Plan;United Kingdom;2012;In force;National;\href{https://www.iea.org/policies/15267-resource-security-action-plan}{\faLink};https://www.iea.org/policies/15267-resource-security-action-plan
Supply of Mineral Resources (SoS MinErals);United Kingdom;2012;In force;National;\href{https://www.iea.org/policies/15932-supply-of-mineral-resources-sos-minerals}{\faLink};https://www.iea.org/policies/15932-supply-of-mineral-resources-sos-minerals
Finland’s Minerals Strategy;Finland;2010;In force;National;\href{https://www.iea.org/policies/16749-finlands-minerals-strategy}{\faLink};https://www.iea.org/policies/16749-finlands-minerals-strategy
Royal Decree 975/2009 about extractive industries waste management and the protection and rehabilitation of areas affected by mining activities;Spain;2009;In force;National;\href{https://www.iea.org/policies/16681-royal-decree-9752009-about-extractive-industries-waste-management-and-the-protection-and-rehabilitation-of-areas-affected-by-mining-activities}{\faLink};https://www.iea.org/policies/16681-royal-decree-9752009-about-extractive-industries-waste-management-and-the-protection-and-rehabilitation-of-areas-affected-by-mining-activities
EU Directive 2006/66/EC Battery Directive;European Union;2006;In force;International;\href{https://www.iea.org/policies/15684-eu-directive-200666ec-battery-directive}{\faLink};https://www.iea.org/policies/15684-eu-directive-200666ec-battery-directive
